ts,type,plan_index,plan_time_utc,plan_path,action,reason
2026-02-09T22:30:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T22:45:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T23:00:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T23:15:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T23:30:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T23:45:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-10T00:00:00+00:00,PLAN_SWITCH,4,2026-02-10 00:00:00+00:00,/freqtrade/user_data/grid_plans/binance/ETH_USDT/grid_plan.latest.json,HOLD,
2026-02-10T10:00:00+00:00,PLAN_SWITCH,5,2026-02-10 10:00:00+00:00,/freqtrade/user_data/grid_plans/binance/ETH_USDT/grid_plan.20260212T034554038353+0000.json,HOLD,
2026-02-10T10:00:00+00:00,STOP,5,2026-02-10 10:00:00+00:00,,,STOP_OUT_TP
2026-02-10T10:15:00+00:00,PLAN_SWITCH,6,2026-02-10 10:15:00+00:00,/freqtrade/user_data/grid_plans/binance/ETH_USDT/grid_plan.20260212T034554042130+0000.json,STOP,
2026-02-10T10:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T10:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T10:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T11:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T11:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T11:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T11:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T12:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T12:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T12:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T12:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T13:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T13:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T13:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T13:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T14:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T14:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T14:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T14:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T15:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T15:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T15:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T15:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T16:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T16:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T16:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T16:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T17:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T17:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T17:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T17:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T18:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T18:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T18:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T18:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T19:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T19:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T19:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T19:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T20:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T20:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T20:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T20:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T21:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T21:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T21:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
